date,precio,vol_30d,cum_ret_30d,dist_sma50,drawdown,cluster_km,estado_hmm,estado_hmm_causal
2018-07-23,450.8529968261719,3.6169937712867735,-3.196879306158828,-7.90929068457995,-56.51453237013657,2,1,1
2018-07-24,479.37298583984375,3.740087769035469,6.679438860973941,-1.62725827781377,-53.7637353968689,2,1,1
2018-07-25,472.4930114746094,3.7515416904979997,4.667840659469203,-2.4915979310985215,-54.42731954660239,2,1,1
2018-07-26,464.0369873046875,3.5895914851327904,8.860668317369324,-3.6677513505714354,-55.24291613331035,2,1,1
2018-07-27,469.6659851074219,3.5757184383764726,7.857080071717671,-1.9474789210157661,-54.699990604451656,2,1,1
2018-07-28,466.8980102539063,3.464692901648943,11.788883864739498,-1.9761695818082403,-54.96696605263578,2,1,1
2018-07-29,466.6650085449219,3.423575988760323,8.508595338495839,-1.483613324022881,-54.98943942720593,2,1,1
2018-07-30,457.08099365234375,3.3582742532491,2.0579453008838904,-3.2233047998460607,-55.91383246065408,2,1,1
2018-07-31,433.8670043945313,3.487263767538321,-2.743550626633772,-7.749988571070999,-58.15285756537087,2,1,1
2018-08-01,420.74700927734375,3.404412955038454,-10.488411205298743,-10.24916949170629,-59.41830135079257,2,1,1
2018-08-02,412.6210021972656,3.3968598382404167,-10.073668794111034,-11.738275249311359,-60.20206727966144,2,1,1
2018-08-03,418.2619934082031,3.4063209358794264,-9.37933134322667,-10.141525444083443,-59.65798496806456,2,1,1
2018-08-04,407.25201416015625,3.413679407622791,-13.529670688741046,-12.190893426615235,-60.71991446518843,2,1,1
2018-08-05,410.5159912109375,3.4207835330690846,-12.64389337625449,-11.14563624474335,-60.40509883928479,2,1,1
2018-08-06,406.6579895019531,3.3307212806378486,-17.30680136878745,-11.621860723644806,-60.77720906060529,2,1,1
2018-08-07,380.2149963378906,3.501883793498435,-23.292491741812547,-16.86756989207552,-63.32767657743956,0,1,1
2018-08-08,356.6130065917969,3.6273008463104364,-26.957298357420598,-21.40478524541649,-65.60412492829713,0,1,1
2018-08-09,365.5880126953125,3.3499556423254098,-15.575534398610147,-18.815975368738457,-64.7384717328217,2,1,1
2018-08-10,334.1759948730469,3.59785846818539,-26.951639467660737,-25.149229460070256,-67.76820934977155,0,1,1
2018-08-11,322.11199951171875,3.5959437990647825,-26.878993580303433,-27.38392443573392,-68.9318003283497,0,1,1
2018-08-12,319.57000732421875,3.5796987105441618,-28.587302474728382,-27.450129062542004,-69.17697939949494,0,1,1
2018-08-13,286.4949951171875,3.956543393107702,-39.41154340926455,-34.449456558872996,-72.36711539240426,0,1,1
2018-08-14,278.9320068359375,3.8713398114228506,-45.207635925616415,-35.64574609832915,-73.0965772888639,0,1,1
2018-08-15,282.364013671875,3.577991558732541,-50.82572736774663,-34.398630202300886,-72.76555493075551,0,1,1
2018-08-16,288.0459899902344,3.472583524825625,-53.04597612799665,-32.59521195869186,-72.2175195422696,0,1,1
2018-08-17,315.72900390625,4.015222623748031,-39.345746168253875,-25.74661452932493,-69.5474501094028,0,1,1
2018-08-18,295.81201171875,4.11493534500118,-43.38683875251043,-29.968899823534223,-71.46847475635153,0,1,1
2018-08-19,300.8340148925781,4.123809975240841,-37.660129133937346,-28.255671339490583,-70.98409479660874,0,1,1
2018-08-20,274.31500244140625,4.279360739740818,-49.079699554054926,-34.01478838579397,-73.54189449105327,0,1,1
2018-08-21,281.9440002441406,4.351508215357296,-45.69764484912837,-31.54271136036457,-72.8060658743323,0,1,1
2018-08-22,271.34100341796875,4.370243795209407,-47.54297492566756,-33.49433067738713,-73.82874128851351,0,1,1
2018-08-23,277.10400390625,4.170755039825794,-51.74486351533642,-31.4425702454145,-73.2728909937429,0,1,1
